"","Date","Amount","Description","Category","Budget"
"117","2020/03/04",-15.95,"Market Street Gril Slc","Restaurants","Fun"
"71","2020/03/28",-15,"Utahstateparks","Other Sports & Fitness","Fun"
"506","2019/10/25",-14.27,"La Cocina","Restaurants","Fun"
"215","2020/02/04",-14.24,"Level Cross","Restaurants","Fun"
"498","2019/10/29",-14.14,"Pizza Nono","Restaurants","Fun"
"372","2019/12/03",-14,"Templin Family Brewing","Alcohol & Bars","Fun"
"356","2019/12/08",-13.77,"Wendys","Fast Food","Fun"
"167","2020/02/22",-13.63,"Toshs Ramen","Restaurants","Fun"
"135","2020/02/29",-12.99,"Brighton Ski Resort","Restaurants","Fun"
"430","2019/11/16",-12.98,"Fruita Liquor Mart","Alcohol & Bars","Fun"
"470","2019/11/03",-12.88,"Water Witch","Restaurants","Fun"
"272","2020/01/07",-12.75,"Cafe Rio Slc Airport","Restaurants","Fun"
"197","2020/02/10",-12.28,"Cafe Rio Sandy","Restaurants","Fun"
"144","2020/02/28",-12,"Proper Brewing","Restaurants","Fun"
"89","2020/03/21",-11.95,"Cubbys Sugar House","Fast Food","Fun"
"433","2019/11/14",-11.88,"Moab Diner","Restaurants","Fun"
"524","2019/10/14",-11.85,"Chat Chat Poke Bowl Ll","Fast Food","Fun"
"51","2020/04/02",-11.84,"Cafe Rio Sugarhouse","Restaurants","Fun"
"512","2019/10/23",-11.6,"Rumsys","Restaurants","Fun"
"395","2019/11/24",-11.56,"Arbys 942 West","Fast Food","Fun"
"127","2020/03/03",-11.38,"Indochine Vietnamese","Restaurants","Fun"
"229","2020/02/01",-11.14,"Chubbys Cafe","Restaurants","Fun"
"344","2019/12/10",-11,"Powder Keg Bar","Alcohol & Bars","Fun"
"410","2019/11/21",-10.76,"Eclair French Pastry","Other Food & Drink","Fun"
"515","2019/10/22",-10.36,"Pie Hole","Restaurants","Fun"
"136","2020/02/29",-10.29,"Brighton Ski Resort","Restaurants","Fun"
"120","2020/03/04",-10.16,"Cafe Rio Skyline","Restaurants","Fun"
"471","2019/11/02",-9.84,"Cafe Rio Sandy","Restaurants","Fun"
"40","2020/04/06",-9.79,"The Park Cafe","Restaurants","Fun"
"343","2019/12/11",-9.68,"Oh Mai Downtown","Restaurants","Fun"
"316","2019/12/18",-9.63,"Canyon Fever At","Restaurants","Fun"
"193","2020/02/11",-9,"The Green Pig Pub","Restaurants","Fun"
"321","2019/12/16",-9,"Powder Keg Bar","Alcohol & Bars","Fun"
"153","2020/02/24",-8.93,"Slab Pizza","Fast Food","Fun"
"65","2020/03/30",-8.65,"Mcdonald's","Fast Food","Fun"
"452","2019/11/08",-8.36,"The Bagel Project","Other Food & Drink","Fun"
"188","2020/02/12",-8.09,"Bewilder Brewing","Restaurants","Fun"
"11","2020/04/21",-8,"Normal Ice Cream","Other Food & Drink","Fun"
"236","2020/01/29",-7.75,"The Bagel Project","Other Food & Drink","Fun"
"390","2019/11/27",-7.74,"Arbys 1484 Pric","Fast Food","Fun"
"287","2019/12/28",-7.67,"Beard Papas","Other Food & Drink","Fun"
"438","2019/11/11",-7.65,"Paco S Tacos","Restaurants","Fun"
"191","2020/02/11",-7.57,"Pot Stickers Plus","Restaurants","Fun"
"541","2019/10/06",-7.54,"Lagoon","Fast Food","Fun"
"126","2020/03/03",-7.53,"The Green Pig Pub","Restaurants","Fun"
"416","2019/11/19",-7.52,"Rumsy's","Fast Food","Fun"
"429","2019/11/18",-6.99,"Arbys 1484 Pric","Fast Food","Fun"
"527","2019/10/11",-6.68,"Paco S Tacos","Restaurants","Fun"
"17","2020/04/18",-6.44,"Little Caesars","Fast Food","Fun"
"234","2020/01/30",-5.5,"City Limits","Alcohol & Bars","Fun"
"379","2019/12/01",-5.44,"Little Caesars","Fast Food","Fun"
"28","2020/04/12",-5,"Normal Ice Cream","Other Food & Drink","Fun"
"79","2020/03/25",-4.32,"Dunkin 352088 Q35","Fast Food","Fun"
"280","2019/12/29",-4.08,"Mcdonald's","Fast Food","Fun"
"516","2019/10/21",-3.75,"Chipotle","Fast Food","Fun"
"291","2019/12/25",-3.27,"Carls Jr","Fast Food","Fun"
"547","2019/10/04",-3.26,"Rumsy's","Fast Food","Fun"
"548","2019/10/04",-3.26,"Rumsy's","Fast Food","Fun"
"166","2020/02/22",-3,"Alta Ski Area Alfs","Fast Food","Fun"
"310","2019/12/20",-2.99,"Barnesnoble","Fast Food","Fun"
"320","2019/12/17",-2.91,"Dunkin 352088 Q35","Fast Food","Fun"
"21","2020/04/17",-1.6,"Certus Ace Vending","Fast Food","Fun"
"415","2019/11/19",-0.29,"Superprof Student Pa","Business Services","Fun"
"305","2019/12/21",9.63,"Canyon Fever at Moonbea","Restaurants","Fun"
"238","2020/01/28",-281.9,"Ldvision","Eyes","Health"
"413","2019/11/20",-188.57,"Warby Parker","Eyes","Health"
"31","2020/04/10",-120,"Rev Physical Thera","Other Health & Medical","Health"
"96","2020/03/17",-120,"Rev Physical Thera","Other Health & Medical","Health"
"141","2020/02/28",-120,"Rev Physical Thera","Other Health & Medical","Health"
"170","2020/02/18",-120,"Rev Physical Thera","Other Health & Medical","Health"
"178","2020/02/13",-120,"Rev Physical Thera","Other Health & Medical","Health"
"205","2020/02/07",-120,"Rev Physical Thera","Other Health & Medical","Health"
"241","2020/01/28",-120,"Rev Physical Therap","Other Health & Medical","Health"
"453","2019/11/08",-120,"Rev Physical Therap","Other Health & Medical","Health"
"478","2019/11/01",-120,"Rev Physical Therap","Other Health & Medical","Health"
"465","2019/11/04",-82.95,"Intermountain Healthcar","Other Health & Medical","Health"
"451","2019/11/08",-53.23,"Walgreens Store","Pharmacies","Health"
"561","2019/10/02",-53,"Walgreens Store","Pharmacies","Health"
"219","2020/02/03",-49,"Canyon Gate Massage","Other Health & Medical","Health"
"232","2020/01/30",-41.4,"Return to Harmony M","Other Health & Medical","Health"
"444","2019/11/10",-26.3,"Tinker's Cat Cafe","Other Health & Medical","Health"
"23","2020/04/17",-17.23,"Walgreens Store","Pharmacies","Health"
"355","2019/12/08",-12.92,"Walgreens Store","Pharmacies","Health"
"503","2019/10/28",-4.4,"Walgreens Store","Pharmacies","Health"
"375","2019/12/02",-386.5,"Airbnb Hmaqq42Exq","Hotels","Home"
"29","2020/04/11",-327.32,"Airbnb Hm3Bzsc5Bc","Hotels","Home"
"330","2019/12/13",-310.47,"Airbnb Hmrned2Mr9","Hotels","Home"
"314","2019/12/18",-280.97,"Ikea Draper","Furnishings","Home"
"385","2019/11/28",-153.71,"Airbnb Hmaeswrd8E","Hotels","Home"
"339","2019/12/12",-151.37,"Bedbath&Beyond","Furnishings","Home"
"495","2019/10/30",-135.68,"The Home Depot","Repairs & Improvement","Home"
"319","2019/12/18",-128.7,"Amzn Mktp Us 959Tw21Z3 Amzn.com billWA","Other Home","Home"
"463","2019/11/04",-94.17,"4Th S Ace Hardware","Repairs & Improvement","Home"
"109","2020/03/09",-67.48,"Amzn Mktp Us 6R0Hk2A43 Amzn.com billWA","Other Home","Home"
"312","2019/12/19",-51.47,"Amazon.com Mn6H88003 Amzn.com billWA","Other Home","Home"
"180","2020/02/13",-40.95,"National Wood Products","Furnishings","Home"
"382","2019/11/30",-30.99,"Cottonwood Inn Enterprise Ut","Hotels","Home"
"513","2019/10/22",-27.75,"Lowe's","Repairs & Improvement","Home"
"500","2019/10/29",-27.06,"The Home Depot","Repairs & Improvement","Home"
"480","2019/11/01",-23.41,"The Home Depot","Repairs & Improvement","Home"
"486","2019/10/31",-13.99,"Sherwin Williams","Repairs & Improvement","Home"
"186","2020/02/12",-10.21,"Lowe's","Repairs & Improvement","Home"
"63","2020/03/30",-9.98,"Lowe's","Repairs & Improvement","Home"
"467","2019/11/03",-8.16,"The Home Depot","Repairs & Improvement","Home"
"425","2019/11/18",-5.64,"The Home Depot","Repairs & Improvement","Home"
"479","2019/11/01",20.78,"The Home Depot","Repairs & Improvement","Home"
"481","2019/11/01",60.29,"The Home Depot","Repairs & Improvement","Home"
"24","2020/04/14",327.32,"Airbnb Hm3Bzsc5Bc","Hotels","Home"
"9","2020/04/22",-6550,"Capital One N a Capitalone","Money Transfers","Ignore"
"487","2019/10/31",-4000,"Protected Goal Account Transfer","Money Transfers","Ignore"
"259","2020/01/21",-3350,"Capital One N a Capitalone","Money Transfers","Ignore"
"8","2020/04/22",-2650,"Capital One N a Capitalone","Money Transfers","Ignore"
"334","2019/12/13",-2050,"Protected Goal Account Transfer","Money Transfers","Ignore"
"265","2020/01/15",-2000,"Protected Goal Account Transfer","Money Transfers","Ignore"
"247","2020/01/27",-1552,"Capital One N a Capitalone","Money Transfers","Ignore"
"258","2020/01/21",-1500,"Transfer to Macu","Money Transfers","Ignore"
"558","2019/10/03",-1450,"Protected Goal Account Transfer","Money Transfers","Ignore"
"317","2019/12/18",-1392.46,"Capital One Online Pmt","Credit Card Payment","Ignore"
"60","2020/03/31",-1239.07,"Capital One Online Pmt","Credit Card Payment","Ignore"
"263","2020/01/17",-1200,"Protected Goal Account Transfer","Money Transfers","Ignore"
"275","2020/01/02",-1000,"Transfer to Betterment","Money Transfers","Ignore"
"224","2020/02/03",-973.69,"Capital One Crcardpmt","Credit Card Payment","Ignore"
"497","2019/10/29",-600,"Protected Goal Account Transfer","Money Transfers","Ignore"
"333","2019/12/13",-550,"Protected Goal Account Transfer","Money Transfers","Ignore"
"88","2020/03/21",-500,"Protected Goal Account Transfer","Money Transfers","Ignore"
"38","2020/04/08",-468,"Capital One Online Pmt","Credit Card Payment","Ignore"
"335","2019/12/13",-400,"Protected Goal Account Transfer","Money Transfers","Ignore"
"196","2020/02/10",-286,"Protected Goal Account Transfer","Money Transfers","Ignore"
"33","2020/04/10",-170.04,"Amex Epayment Ach Pmt","Credit Card Payment","Ignore"
"56","2020/04/02",-88.02,"Capital One Crcardpmt","Credit Card Payment","Ignore"
"537","2019/10/09",-40,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"338","2019/12/12",-20,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"367","2019/12/04",-20,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"394","2019/11/26",-20,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"434","2019/11/13",-20,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"436","2019/11/12",-20,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"483","2019/11/01",-20,"Mppsaltlakecitys Purchase","Money Transfers","Ignore"
"104","2020/03/10",-14.55,"Amex Epayment Ach Pmt","Credit Card Payment","Ignore"
"125","2020/03/03",-9.99,"Capital One Crcardpmt","Credit Card Payment","Ignore"
"177","2020/02/14",-5.81,"Round up Transfer","Money Transfers","Ignore"
"131","2020/03/02",-5.6,"Round up Transfer","Money Transfers","Ignore"
"116","2020/03/05",-5.56,"Round up Transfer","Money Transfers","Ignore"
"107","2020/03/09",-5.51,"ATM Fee","ATM Fees","Ignore"
"82","2020/03/23",-5.45,"Round up Transfer","Money Transfers","Ignore"
"14","2020/04/20",-5.4,"Round up Transfer","Money Transfers","Ignore"
"49","2020/04/02",-5.35,"Round up Transfer","Money Transfers","Ignore"
"158","2020/02/24",-5.32,"Round up Transfer","Money Transfers","Ignore"
"171","2020/02/18",-5.27,"Round up Transfer","Money Transfers","Ignore"
"128","2020/03/03",-5.22,"Round up Transfer","Money Transfers","Ignore"
"26","2020/04/13",-5.18,"Round up Transfer","Money Transfers","Ignore"
"97","2020/03/17",-5.15,"Round up Transfer","Money Transfers","Ignore"
"57","2020/04/01",-5.13,"Round up Transfer","Money Transfers","Ignore"
"68","2020/03/29",-5.11,"Round up Transfer","Money Transfers","Ignore"
"152","2020/02/25",-5.08,"Round up Transfer","Money Transfers","Ignore"
"37","2020/04/08",-5.04,"Round up Transfer","Money Transfers","Ignore"
"105","2020/03/09",-5,"Round up Transfer","Money Transfers","Ignore"
"114","2020/03/05",-4.49,"ATM Fee","ATM Fees","Ignore"
"113","2020/03/05",-2.61,"International Transaction Fee","ATM Fees","Ignore"
"357","2019/12/06",-2.5,"ATM Fee","ATM Fees","Ignore"
"252","2020/01/22",-2.37,"ATM Fee","ATM Fees","Ignore"
"255","2020/01/22",-2.37,"ATM Fee","ATM Fees","Ignore"
"261","2020/01/21",-2.37,"ATM Fee","ATM Fees","Ignore"
"106","2020/03/09",-1.51,"International Transaction Fee","ATM Fees","Ignore"
"251","2020/01/22",-0.86,"International Transaction Fee","ATM Fees","Ignore"
"254","2020/01/22",-0.86,"International Transaction Fee","ATM Fees","Ignore"
"260","2020/01/21",-0.86,"International Transaction Fee","ATM Fees","Ignore"
"137","2020/02/29",0.05,"Interest Credit","Interest","Ignore"
"228","2020/02/01",0.05,"Interest Credit","Interest","Ignore"
"276","2020/01/01",0.06,"Interest Credit","Interest","Ignore"
"484","2019/11/01",0.06,"Interest Credit","Interest","Ignore"
"59","2020/04/01",0.07,"Interest Credit","Interest","Ignore"
"381","2019/11/30",0.07,"Interest Credit","Interest","Ignore"
"364","2019/12/05",5.49,"Protected Goal Account Transfer","Money Transfers","Ignore"
"418","2019/11/19",40,"Venmo Cashout","Other Income","Ignore"
"351","2019/12/09",62,"Venmo Cashout","Other Income","Ignore"
"192","2020/02/11",65.5,"Venmo Cashout","Other Income","Ignore"
"363","2019/12/06",100,"Venmo Cashout","Other Income","Ignore"
"488","2019/10/31",200,"Protected Goal Account Transfer","Money Transfers","Ignore"
"195","2020/02/10",286,"Protected Goal Account Transfer","Money Transfers","Ignore"
"347","2019/12/10",400,"Capital One N a Capitalone","Other Income","Ignore"
"246","2020/01/27",452.68,"Venmo Cashout","Other Income","Ignore"
"473","2019/11/02",500,"Protected Goal Account Transfer","Money Transfers","Ignore"
"536","2019/10/09",500,"Protected Goal Account Transfer","Money Transfers","Ignore"
"257","2020/01/21",563.19,"Transfer from Betterment","Other Income","Ignore"
"86","2020/03/23",570,"Capital One N a Capitalone","Other Income","Ignore"
"102","2020/03/16",570,"Capital One N a Capitalone","Other Income","Ignore"
"110","2020/03/09",570,"Capital One N a Capitalone","Other Income","Ignore"
"133","2020/03/02",570,"Capital One N a Capitalone","Other Income","Ignore"
"162","2020/02/24",570,"Capital One N a Capitalone","Other Income","Ignore"
"16","2020/04/20",600,"Capital One N a Capitalone","Other Income","Ignore"
"27","2020/04/13",600,"Capital One N a Capitalone","Other Income","Ignore"
"43","2020/04/06",600,"Capital One N a Capitalone","Other Income","Ignore"
"66","2020/03/30",600,"Capital One N a Capitalone","Other Income","Ignore"
"173","2020/02/18",743,"Capital One N a Capitalone","Other Income","Ignore"
"472","2019/11/02",904.36,"Protected Goal Account Transfer","Money Transfers","Ignore"
"189","2020/02/11",905.45,"Protected Goal Account Transfer","Money Transfers","Ignore"
"199","2020/02/10",948,"Capital One N a Capitalone","Other Income","Ignore"
"226","2020/02/03",948,"Capital One N a Capitalone","Other Income","Ignore"
"489","2019/10/31",1020,"Protected Goal Account Transfer","Money Transfers","Ignore"
"274","2020/01/05",1200,"Protected Goal Account Transfer","Money Transfers","Ignore"
"121","2020/03/04",1239.07,"Check Deposit","Other Income","Ignore"
"161","2020/02/24",2000,"Capital One N a Capitalone","Other Income","Ignore"
"323","2019/12/16",2050,"Capital One N a Capitalone","Other Income","Ignore"
"397","2019/11/24",4000,"Protected Goal Account Transfer","Money Transfers","Ignore"
"13","2020/04/21",4699.92,"Protected Goal Account Transfer","Money Transfers","Ignore"
"490","2019/10/31",5000,"Capital One N a Capitalone","Other Income","Ignore"
"264","2020/01/16",6000,"Transfer from Macu","Other Income","Ignore"
"266","2020/01/15",7350,"Transfer from Macu","Other Income","Ignore"
"559","2019/10/03",8000,"Capital One N a Capitalone","Other Income","Ignore"
"271","2020/01/07",-973.69,"Capital One Mobile Pmt","Activities","Spend"
"365","2019/12/05",-345.21,"Venmo Payment","Activities","Spend"
"159","2020/02/24",-269.65,"Capital One Mobile Pmt","Activities","Spend"
"361","2019/12/06",-215,"Venmo Payment","Activities","Spend"
"242","2020/01/28",-201.63,"REI 19 Salt Lake City","Sporting Goods","Spend"
"101","2020/03/16",-175,"Venmo Payment","Activities","Spend"
"85","2020/03/23",-154.6,"Venmo Payment","Activities","Spend"
"172","2020/02/18",-153.41,"Venmo Payment","Activities","Spend"
"539","2019/10/07",-150,"Venmo Payment","Activities","Spend"
"119","2020/03/04",-140,"Venmo Payment","Activities","Spend"
"47","2020/04/03",-117.97,"Venmo Payment","Activities","Spend"
"546","2019/10/04",-100,"Future Motion","Sporting Goods","Spend"
"36","2020/04/08",-96.47,"The Gear Room","Sporting Goods","Spend"
"206","2020/02/07",-83.66,"Capital One Mobile Pmt","Activities","Spend"
"132","2020/03/02",-75,"Venmo Payment","Activities","Spend"
"176","2020/02/14",-75,"Venmo Payment","Activities","Spend"
"307","2019/12/20",-64.26,"2Nd Tracks Millcreek","Sporting Goods","Spend"
"530","2019/10/11",-62,"Venmo Payment","Activities","Spend"
"475","2019/11/01",-60.12,"Get Air Salt Lake","Camping","Spend"
"544","2019/10/05",-51.35,"Lagoon Web Site","Random Fun","Spend"
"300","2019/12/24",-51,"Magic City Hippies","Random Fun","Spend"
"423","2019/11/18",-48.21,"REI 19 Salt Lake City","Sporting Goods","Spend"
"100","2020/03/16",-46,"Venmo Payment","Activities","Spend"
"474","2019/11/02",-45.52,"Amzn Mktp Us Amzn.com","Books","Spend"
"412","2019/11/21",-42.64,"Amazon Payments","Books","Spend"
"455","2019/11/07",-41.3,"Amzn Mktp Us Amzn.com","Books","Spend"
"303","2019/12/23",-39,"Scotts Cheap Flights","Tours & Cruises","Spend"
"98","2020/03/17",-37,"Venmo Payment","Activities","Spend"
"454","2019/11/07",-36.9,"Son of Oak Game Studio","Hobbies","Spend"
"244","2020/01/27",-30.1,"Solitude Mountain Reso","Random Fun","Spend"
"118","2020/03/04",-30,"Venmo Payment","Activities","Spend"
"521","2019/10/15",-29.9,"Son of Oak Game Studio","Hobbies","Spend"
"134","2020/03/01",-27.76,"Amzn Mktp Us","Books","Spend"
"494","2019/10/30",-24.12,"The Gear Room","Sporting Goods","Spend"
"431","2019/11/14",-21.74,"Moab Gear Trader","Sporting Goods","Spend"
"245","2020/01/27",-21.55,"Wasatch Touring","Sporting Goods","Spend"
"552","2019/10/03",-19.29,"Amazon.com Amzn.com Bi","Books","Spend"
"311","2019/12/20",-18.31,"Barnesnoble","Books","Spend"
"556","2019/10/03",-18.22,"Amazon.com Amzn.com Bi","Books","Spend"
"477","2019/11/01",-17,"Patrick Sweany","Random Fun","Spend"
"143","2020/02/28",-16.08,"Spotify","Sporting Goods","Spend"
"504","2019/10/28",-16.08,"Spotify","Sporting Goods","Spend"
"398","2019/11/24",-14.97,"Backcountry.com","Sporting Goods","Spend"
"542","2019/10/05",-13,"Lagoon Web Site","Random Fun","Spend"
"551","2019/10/03",-12.82,"Amzn Mktp Us","Books","Spend"
"550","2019/10/03",-11.84,"Amzn Mktp Us","Books","Spend"
"331","2019/12/13",-11.54,"Hostel World","Tours & Cruises","Spend"
"156","2020/02/24",-10,"Venmo Payment","Activities","Spend"
"371","2019/12/03",-9.99,"Apple.com Bill","Sporting Goods","Spend"
"557","2019/10/03",-9.99,"Itunes.com Bill","Sporting Goods","Spend"
"130","2020/03/02",-9.8,"Cole Sport Park Avenue","Sporting Goods","Spend"
"401","2019/11/23",-8.61,"Apple.com Bill","Sporting Goods","Spend"
"95","2020/03/17",-7.5,"Randy's Record Shop","Music","Spend"
"90","2020/03/21",-6.45,"Barnesnoble","Books","Spend"
"213","2020/02/04",-5,"Millcreek Canyon","Sporting Goods","Spend"
"325","2019/12/14",-4.88,"Solitude General Store","Random Fun","Spend"
"240","2020/01/28",-3.6,"Hostel World","Tours & Cruises","Spend"
"154","2020/02/24",-2.25,"Pay Stations Mobile","Sporting Goods","Spend"
"269","2020/01/08",-1.08,"Hostel World","Tours & Cruises","Spend"
"332","2019/12/13",-0.12,"Hostel World","Tours & Cruises","Spend"
"239","2020/01/28",-0.04,"Hostel World","Tours & Cruises","Spend"
"270","2020/01/08",-0.01,"Hostel World","Tours & Cruises","Spend"
"230","2020/01/31",106.17,"REI 19 Salt Lake","Sporting Goods","Spend"
